528	1558
532	734
246	2344
2333	2682
305	556
947	1081
1780	2107
207	598
1370	1684
738	1512
1717	2613
731	2248
1483	1570
1480	2233
433	2991
2290	2386
1558	1825
1118	2453
709	882
2253	2549
2500	2797
203	387
143	1396
1660	2247
682	1546
2600	2614
256	1848
2518	2996
1859	2248
2260	2633
2344	2845
1258	1625
1466	2878
227	2142
289	1782
1089	1184
226	2922
573	2238
543	740
964	1913
340	1603
671	1033
129	2683
817	2802
1426	2559
490	1755
2553	2593
1014	2168
710	1197
386	2718
334	1577
157	678
786	2628
317	2185
222	1740
541	846
1641	2227
2455	2581
1277	2740
196	1700
1421	2846
138	2388
63	709
1897	2507
1724	2963
2290	2571
517	589
71	1476
1308	2988
2721	2845
1267	1622
615	2287
605	875
1161	2455
423	1958
1258	1620
2616	2631
408	2124
558	959
1276	2156
577	665
2005	2989
501	2288
952	2200
610	2698
184	1870
1523	2729
1245	2458
367	1725
1026	1845
2370	2750
385	1973
623	2380
1779	1867
963	1311
538	1937
1695	2179
59	399
604	2103
47	1178
157	1436
808	2209
989	1404
2202	2237
389	2978
668	2955
1065	2919
1364	1695
1884	2625
427	1368
322	563
1169	1654
1705	2504
1806	2959
953	2450
55	2864
910	2660
1627	2238
2333	2592
475	981
667	2279
597	1102
1997	2855
600	612
328	1759
815	1624
1654	1845
1152	1684
44	2592
247	1702
2132	2521
187	1533
1034	1987
1391	2195
1288	1655
132	1734
789	2406
665	2955
1065	1578
553	2469
2785	2837
966	2797
802	1047
642	2391
647	1332
1832	2439
57	2638
1726	2349
1945	2282
1031	2032
1628	2178
2009	2089
230	917
250	2495
499	2752
187	2248
1431	2727
57	1549
2162	2282
833	2054
439	1981
1074	1406
1500	2337
180	2914
1444	2499
251	471
2356	2684
2005	2617
1211	2271
890	1227
2112	2768
594	1361
1278	2032
1502	2685
837	1169
195	1391
532	2250
1547	2674
2297	2636
742	1316
119	1199
724	2475
318	1036
1405	1778
1736	2218
9	2556
1533	2211
899	2727
1031	2166
992	2202
345	2728
603	2837
2426	2529
55	830
528	2637
1239	2636
2282	2637
1152	1870
655	1151
318	2321
1004	1833
784	2495
764	2068
252	2661
227	1120
1030	2727
657	2335
1531	1970
2178	2779
890	2882
593	1361
989	2684
1010	2782
1110	2455
1234	1239
900	1390
1440	2451
1197	2385
502	2035
2666	2738
680	2943
2362	2587
833	2331
427	2265
439	2544
2634	2741
964	1685
1877	1884
1082	2352
476	1245
78	601
1459	1602
307	2353
655	1732
1453	2675
2246	2750
2016	2562
1421	2804
1027	2675
2326	2556
1447	1846
518	919
1531	1778
286	2476
1231	2418
888	2752
1227	2086
84	2304
1447	2086
1800	2119
394	657
2227	2241
846	2080
802	1742
1455	1521
133	385
832	2518
2675	2922
622	1335
1935	2788
325	2920
372	791
1239	2269
587	2682
607	2006
362	1420
802	2630
260	405
618	2793
677	1485
24	2807
129	2682
2623	2698
24	74
954	1206
918	2111
170	496
1209	2241
777	2752
645	2322
466	2246
670	2343
587	2313
938	2218
915	1367
411	1341
259	1499
781	1740
1502	2975
769	1484
840	2335
457	2683
815	1477
40	1788
705	910
225	1081
1461	2180
1316	2808
281	347
601	2859
1832	2248
1504	2975
2545	2790
1000	2929
350	1130
339	2238
1440	1622
404	2725
1822	2972
520	1478
322	2684
291	1619
2638	2711
2068	2344
2477	2785
2158	2936
